iter	Passed	Remaining
0	194	193978
1	200	99880
2	204	67889
3	208	51885
4	223	44468
5	233	38664
6	241	34295
7	250	31008
8	254	28075
9	267	26464
10	306	27547
11	313	25850
12	318	24187
13	328	23117
14	336	22102
15	342	21066
16	350	20248
17	361	19742
18	367	18955
19	372	18245
20	376	17559
21	380	16915
22	385	16384
23	389	15839
24	395	15411
25	399	14970
26	402	14521
27	407	14155
28	414	13894
29	419	13569
30	438	13716
31	458	13880
32	468	13719
33	481	13681
34	491	13543
35	496	13283
36	502	13090
37	510	12924
38	518	12786
39	523	12556
40	535	12516
41	554	12648
42	646	14395
43	652	14176
44	664	14099
45	669	13893
46	679	13775
47	694	13778
48	713	13843
49	721	13706
50	725	13500
51	730	13312
52	740	13229
53	746	13077
54	753	12949
55	757	12763
56	760	12583
57	767	12462
58	772	12319
59	808	12670
60	828	12746
61	849	12845
62	853	12697
63	857	12544
64	861	12385
65	870	12314
66	886	12344
67	898	12314
68	914	12339
69	924	12276
70	945	12365
71	965	12444
72	983	12483
73	992	12415
74	997	12305
75	1003	12199
76	1009	12101
77	1018	12043
78	1029	12003
79	1046	12034
80	1080	12260
81	1117	12514
82	1122	12396
83	1130	12323
84	1135	12224
85	1140	12123
86	1146	12033
87	1158	12007
88	1169	11968
89	1176	11894
90	1182	11816
91	1190	11750
92	1196	11671
93	1201	11584
94	1207	11498
95	1209	11392
96	1213	11298
97	1218	11211
98	1222	11125
99	1227	11049
100	1232	10974
101	1239	10910
102	1244	10836
103	1253	10800
104	1262	10760
105	1272	10731
106	1280	10688
107	1287	10635
108	1295	10590
109	1305	10564
110	1313	10518
111	1319	10464
112	1328	10429
113	1335	10375
114	1342	10329
115	1350	10289
116	1355	10226
117	1366	10216
118	1372	10157
119	1377	10100
120	1384	10054
121	1401	10084
122	1409	10052
123	1417	10012
124	1449	10148
125	1479	10264
126	1493	10266
127	1529	10419
128	1574	10630
129	1606	10751
130	1627	10799
131	1639	10778
132	1648	10743
133	1665	10765
134	1695	10866
135	1712	10881
136	1727	10879
137	1740	10870
138	1757	10888
139	1776	10910
140	1789	10903
141	1804	10904
142	1813	10865
143	1838	10928
144	1859	10962
145	1901	11124
146	1908	11076
147	1919	11050
148	1925	10996
149	1937	10979
150	1946	10944
151	1975	11020
152	1982	10975
153	1992	10945
154	2000	10907
155	2018	10918
156	2028	10889
157	2033	10836
158	2039	10787
159	2048	10754
160	2054	10703
161	2062	10669
162	2073	10645
163	2082	10616
164	2092	10588
165	2102	10564
166	2109	10522
167	2122	10510
168	2131	10483
169	2143	10465
170	2153	10438
171	2161	10403
172	2171	10382
173	2181	10358
174	2193	10339
175	2201	10308
176	2209	10274
177	2219	10247
178	2226	10210
179	2236	10188
180	2245	10161
181	2251	10120
182	2258	10082
183	2264	10041
184	2269	9999
185	2276	9963
186	2295	9978
187	2301	9941
188	2310	9913
189	2316	9874
190	2324	9843
191	2336	9833
192	2342	9795
193	2347	9752
194	2354	9718
195	2360	9682
196	2373	9674
197	2380	9642
198	2387	9611
199	2394	9579
200	2402	9549
201	2408	9512
202	2415	9483
203	2420	9445
204	2427	9413
205	2433	9378
206	2438	9340
207	2446	9313
208	2451	9276
209	2456	9242
210	2470	9239
211	2483	9231
212	2493	9213
213	2502	9190
214	2506	9151
215	2508	9105
216	2511	9063
217	2514	9019
218	2516	8975
219	2519	8932
220	2522	8891
221	2524	8848
222	2528	8810
223	2534	8779
224	2540	8750
225	2543	8711
226	2548	8679
227	2557	8658
