iter	Passed	Remaining
0	2	198
1	3	186
2	5	180
3	6	165
4	8	159
5	9	156
6	11	157
7	13	153
8	14	149
9	16	144
10	17	142
11	19	140
12	21	143
13	22	140
14	24	138
15	25	135
16	27	134
17	29	133
18	30	131
19	32	129
20	33	127
21	35	127
22	37	125
23	39	123
24	40	121
25	42	119
26	43	117
27	44	115
28	46	113
29	48	112
30	49	110
31	51	109
32	53	107
33	54	105
34	56	104
35	57	102
36	59	100
37	60	98
38	62	97
39	63	95
40	65	94
41	66	91
42	67	90
43	69	88
44	71	86
45	72	85
46	74	84
47	76	82
48	77	80
49	78	78
50	80	77
51	82	75
52	83	74
53	85	72
54	86	70
55	87	68
56	88	67
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	99	58
63	101	56
64	103	55
65	104	53
66	105	52
67	107	50
68	109	49
69	111	47
70	113	46
71	114	44
72	116	42
73	117	41
74	119	39
75	121	38
76	122	36
77	124	35
78	126	33
79	128	32
80	130	30
81	132	29
82	134	27
83	136	25
84	137	24
85	139	22
86	141	21
87	142	19
88	144	17
89	145	16
90	147	14
91	149	12
92	150	11
93	152	9
94	153	8
95	156	6
96	157	4
97	158	3
98	160	1
99	162	0
